Actual,Predicted
227252082.5,227252082.50000006
213784501.5,213784501.50000006
403953302.0,403953301.9999997
237260344.5,237260344.5
143669398.5,143669398.50000018
199104786.5,199104786.50000006
133072538.0,133072538.0000002
269707014.0,269707013.99999994
212643335.5,212643335.50000006
434344806.5,434344806.49999964
136532672.5,136532672.5000002
379372416.5,379372416.49999976
219957059.5,219957059.50000006
111124456.0,111124456.00000027
29626405.0,29626405.000000387
441127003.0,441127002.99999964
95965839.5,95965839.50000027
201773579.0,201773579.0000001
405937623.5,405937623.4999997
341598073.0,341598072.9999998
392385346.0,392385345.99999976
323657328.5,323657328.4999999
204403036.0,204403036.0000001
339234182.0,339234181.9999998
202854555.5,202854555.50000006
309804712.5,309804712.4999999
73540233.0,73540233.0000003
106249412.5,106249412.50000024
391252608.5,391252608.49999976
435683847.5,435683847.49999964
35196977.5,35196977.50000039
280998237.0,280998236.99999994
397776108.5,397776108.49999976
196936552.5,196936552.5000001
124644448.5,124644448.50000022
336951539.0,336951538.9999998
380245393.0,380245392.99999976
36065063.0,36065063.00000039
193199002.5,193199002.5000001
442696536.5,442696536.49999964
350006794.0,350006793.99999976
227722444.5,227722444.50000003
395941610.0,395941609.99999976
107439301.5,107439301.50000024
211722892.0,211722892.0000001
428097739.5,428097739.49999964
230018467.0,230018467.00000003
282118946.0,282118945.99999994
85848479.0,85848479.0000003
336282961.5,336282961.4999998
70291492.0,70291492.00000033
100670828.0,100670828.0000003
381303586.0,381303585.99999976
462222893.5,462222893.49999964
324249992.5,324249992.4999999
240999605.0,240999605.0
161498810.0,161498810.00000018
247626680.5,247626680.5
344673432.5,344673432.4999998
189924726.5,189924726.50000012
436764530.0,436764529.99999964
395120876.5,395120876.49999976
69540405.5,69540405.50000036
125627483.0,125627483.00000022
358566886.0,358566885.9999998
164255115.0,164255115.00000018
406747931.5,406747931.4999997
354840033.5,354840033.49999976
346087716.5,346087716.4999998
206369889.5,206369889.50000006
204237991.0,204237991.00000006
291090087.5,291090087.4999999
265374824.0,265374823.99999997
454322889.5,454322889.49999964
81200672.5,81200672.5000003
107901355.0,107901355.0000003
145937579.0,145937579.00000018
419609254.0,419609253.9999997
248408753.0,248408753.0
340366076.0,340366075.9999999
212920042.5,212920042.50000006
428410396.0,428410395.99999964
426152466.5,426152466.49999964
176590238.5,176590238.50000012
247070663.0,247070663.0
236191699.5,236191699.50000003
408238969.5,408238969.4999997
291666468.5,291666468.49999994
30919199.0,30919199.000000387
200845729.0,200845729.00000012
272311137.0,272311136.99999994
73103742.5,73103742.50000033
117685936.5,117685936.50000022
443200646.5,443200646.49999964
426443511.0,426443510.99999964
320728831.0,320728830.9999999
322497354.0,322497353.9999999
193854935.0,193854935.00000012
456383623.0,456383622.99999964
400966161.5,400966161.49999976
254721257.0,254721257.0
117122538.5,117122538.50000022
167625537.5,167625537.50000012
294081305.0,294081304.99999994
376129996.0,376129995.99999976
187620498.0,187620498.0000001
261963587.5,261963587.49999997
88895455.5,88895455.5000003
466759122.5,466759122.49999964
156113534.0,156113534.00000018
387076870.0,387076869.99999976
248957173.0,248957173.0
423997219.0,423997218.9999997
408302056.5,408302056.49999964
309750867.5,309750867.49999994
145565474.0,145565474.00000018
156871316.0,156871316.00000015
249984257.0,249984257.0
113577382.5,113577382.50000024
91664138.0,91664138.0000003
405485610.0,405485609.99999976
41357456.5,41357456.50000036
404339883.5,404339883.49999976
179697981.5,179697981.50000012
199929472.5,199929472.50000006
131366482.0,131366482.00000022
203832702.0,203832702.00000006
416182636.5,416182636.4999997
189497145.0,189497145.0000001
34695195.5,34695195.50000036
338972059.0,338972058.9999998
353556516.5,353556516.4999998
35797168.5,35797168.50000042
183094561.5,183094561.50000012
387346279.5,387346279.49999976
143058866.5,143058866.50000018
292864833.5,292864833.4999999
340726164.0,340726163.9999998
389339416.0,389339415.99999976
88291314.5,88291314.50000027
379898497.5,379898497.49999976
136858269.0,136858269.0000002
151360805.0,151360805.00000018
172199359.0,172199359.00000015
397277582.5,397277582.4999997
168782366.5,168782366.50000018
289362215.5,289362215.49999994
301760878.5,301760878.4999999
126488332.5,126488332.50000022
382780186.5,382780186.49999976
167189864.0,167189864.00000012
241419796.5,241419796.50000003
314189647.5,314189647.4999999
462660932.5,462660932.49999964
373141170.5,373141170.49999976
395828790.5,395828790.4999997
151404918.5,151404918.50000018
346913545.5,346913545.4999998
443579035.0,443579034.99999964
218755763.0,218755763.00000006
392849647.5,392849647.49999976
84555055.5,84555055.5000003
100107619.0,100107619.00000027
297505662.5,297505662.4999999
116420698.5,116420698.50000022
205948799.0,205948799.0000001
89339314.0,89339314.0000003
439689427.5,439689427.49999964
349561474.5,349561474.4999998
266540111.0,266540110.99999994
33391781.0,33391781.000000387
77422058.0,77422058.00000033
173140707.5,173140707.50000015
149384853.0,149384853.00000018
260226607.0,260226606.99999997
373403930.5,373403930.49999976
351323897.0,351323896.9999998
293350021.0,293350020.99999994
442773099.0,442773098.99999964
48765920.5,48765920.50000036
404359254.0,404359253.9999997
385989610.0,385989609.99999976
312094812.5,312094812.4999999
113371413.0,113371413.00000024
186867023.5,186867023.5000001
173224271.0,173224271.00000012
180589697.5,180589697.50000012
423815800.5,423815800.49999964
49943067.5,49943067.50000036
284534345.5,284534345.49999994
149026962.0,149026962.00000018
251308235.0,251308235.0
92879686.0,92879686.0000003
284169041.5,284169041.49999994
74031887.0,74031887.00000033
245116260.5,245116260.5
296437932.0,296437931.99999994
117008873.0,117008873.00000024
145660418.5,145660418.50000018
125380983.5,125380983.50000022
223270362.5,223270362.50000006
194629926.0,194629926.00000012
293410514.0,293410513.9999999
287587699.5,287587699.49999994
79191155.5,79191155.5000003
